word,diffs
is,0.11613763644911074
was,0.07655493165258762
are,0.12386687211438671
be,0.15871547605798597
has,0.12613756566670492
said,0.11239570158495243
were,0.09222343927881413
had,0.0728382781263103
would,0.057217246568953106
use,0.14767536358539352
been,0.10381600951980288
should,0.09621883369630163
see,0.19848659517053885
did,0.03696130222460592
get,0.10826069177879705
could,0.07076647348692
called,0.13973024866679196
edits,-0.014924556285364377
says,0.10128770985131968
does,0.051321042617814616
added,0.17545831099177822
got,0.05960291513544505
removed,0.13225885900128492
must,0.03977192082438119
told,0.07363188653693792
created,0.1450972058891517
started,0.055748103955217676
won,0.07382260233202959
included,0.2033940709889585
add,0.25646439999508974
reverted,0.10426921977450117
believe,0.16503591831943537
changed,0.13687610477673692
give,0.19586063286005428
provided,0.18134986128740038
became,0.10829440925835915
seen,0.11984711257684727
reported,0.09385077343947057
came,0.07177842865131095
began,0.033135770288682365
ask,0.17532356286033607
received,0.10080212931818217
based,0.10453171021681656
held,0.11591227180081648
played,0.05237667283794359
regarding,0.2242573951336277
hit,0.051068576629897555
published,0.11767116814277337
taken,0.039462155460015136
needed,0.08267471700234097
remove,0.1613414554395921
uses,0.10284911854868906
close,0.12140903184570995
appear,0.14239941447011473
proposed,0.13829083709834217
seems,0.10907286952926581
am,0.08715836939894311
wrote,0.12942715345615707
live,0.08972952564355857
become,0.17496102307748612
released,0.13349679094560207
asked,0.07610392002473543
understand,0.09930438308434097
required,0.06832502139830421
established,0.15130140854754331
continue,0.12484246382275332
consider,0.2027866668835978
gave,0.1605623959783562
went,0.03741436506496154
described,0.1743794904699996
killed,0.055669111149902334
blocked,0.05727648796110352
built,0.1291743614377873
worked,0.02888649026655926
brought,0.14671486199926265
lives,0.020273712226119955
produced,0.11362274955133528
died,-0.01753779504446379
led,0.10110679797732647
moved,0.08018227047594578
takes,0.06255987377467204
write,0.10205497201584679
providing,0.20401447109820287
cannot,0.013888769701797365
followed,0.14058405645651167
sent,0.11542255757245115
offered,0.18359194034889253
produce,0.1326804089700716
reached,0.07781687897066142
discuss,0.21661085438680405
comes,0.10198117435117798
paid,0.048635476303793834
learn,0.049643359162014566
agree,0.1502612341203836
wanted,0.07856079778578531
gets,0.06397249825045298
gives,0.13127219983771288
scored,0.02491577581718285
raised,0.10085486293545298
creating,0.18711299127800302
require,0.1419192404964033
bring,0.20321280603515357
stated,0.1690238613823708
exist,0.12607275348503832
presented,0.1886060316953378
requires,0.07883514706367811
opened,0.15870685600439774
seem,0.09925564740170992
kept,0.10748486065375804
remember,0.07184738177467037
remain,0.17245818811142527
served,0.0800245659572347
joined,0.0857488928840921
receive,0.15033959141218056
completed,0.07517718912505467
suggest,0.23983989329576022
placed,0.17700089933224822
cited,0.16601729604521598
showed,0.10512963490135444
claimed,0.07673679583907211
recorded,0.05393851345286316
happened,0.05105498939505085
suggested,0.1873957308479647
accept,0.17414711306123692
expect,0.11344056731644958
explain,0.1598041474838503
caused,0.08285886371480006
helped,0.06370913369444503
abuse,0.04887159192472318
failed,0.04124753589360025
signed,0.06107695387064055
happen,0.11639840521479067
formed,0.07506926993293628
finished,0.07936892959029684
introduced,0.1710756581342894
discussed,0.18555765809196992
edited,0.12919979460095252
contributing,0.05500085023229262
posted,0.12351338251437377
develop,0.17757915020130904
allowing,0.0993151469487415
meant,0.05273491979678879
shown,0.11181787484255759
identified,0.13058866211294845
allows,0.05933420166037359
ended,0.09350953208795112
performed,0.02001029776694463
designed,0.10793469590588586
leaves,0.06421796294709542
prevent,0.14835546785338122
returned,0.035958462401056546
appeared,0.13054963712321443
exists,0.11964167277731341
avoid,0.15690111060868656
improved,0.12377250465055853
shall,0.041589748762492856
redirect,0.0950616732675813
remained,0.06789309317690762
confirmed,0.15091597473642682
represent,0.12259345273443861
serve,0.18376266217644185
conduct,0.12374230202372438
shared,0.1013144247899305
tried,0.06198988870760802
becomes,0.09474423394879494
explained,0.11121096546917253
removing,0.13367251624164483
revert,0.08834180248324708
linked,0.20657621167189638
decide,0.08229257526263023
identify,0.13631879446739098
entered,0.0842152589987713
featured,0.24078030236474263
looked,0.10668604390702122
combined,0.04599796388835509
discovered,0.07911008548959564
contribute,0.1498870170964206
revealed,0.12350253045989937
issued,0.11447350910889853
experienced,0.07578247647509118
maintain,0.17225799042613787
contain,0.2203504446972508
join,0.1271689896346193
replaced,0.1293778217428645
bought,0.06638836519011371
launched,0.13857527748027962
considering,0.19687063996662574
ran,0.07520265000629614
improving,0.13732506217145307
cite,0.17136475204536228
expanded,0.14301779141873228
ordered,0.05320906544020709
extended,0.10718902984050788
reduce,0.11811239728872441
adopted,0.10266210160280567
attended,0.10219033268152505
knew,0.05974722534921295
dropped,0.10719729111722909
protect,0.16440913674812235
directed,0.0800173261183095
marked,0.14078235810576378
compared,0.10822167262217125
choose,0.0860392009140406
seeking,0.1081328290888878
describe,0.1693452412744848
addressed,0.16856500808016836
stopped,0.04169749517775617
represents,0.09213300193726576
affected,0.07905708245142085
noticed,0.18012986242613524
carried,0.10761991376190305
begins,0.014097975199282908
knows,0.06730320144043339
defined,0.04852890343670946
requested,0.13870942615852416
recognized,0.12527979142655368
appointed,0.09141354660917655
promote,0.19895294406343908
learned,-0.03686221222065389
delivered,0.13644122709040202
caught,0.09263226710576472
causing,0.10779640778376476
intended,0.065707787526399275
spend,0.07734003559997388
seemed,0.0889683490978157
describes,0.13629953702232195
affect,0.12088839700554888
observed,0.03287145587004903
destroyed,0.0749622734749138
charged,0.04492614399798345
update,0.16669925962478294
perform,0.06793294377562253
arrested,0.04675850877576693
