word,pair,type,freq,file,register
subtract,add/subtract,subtract,27,w_acad_1997.txt,academic
addition,addition/subtraction,add,1733,w_acad_1997.txt,academic
subtraction,addition/subtraction,subtract,3,w_acad_1997.txt,academic
plus,plus/minus,add,243,w_acad_1997.txt,academic
minus,plus/minus,subtract,40,w_acad_1997.txt,academic
more,more/less,add,11342,w_acad_1997.txt,academic
less,more/less,subtract,5307,w_acad_1997.txt,academic
most,most/least,add,6338,w_acad_1997.txt,academic
least,most/least,subtract,1400,w_acad_1997.txt,academic
many,many/few,add,4200,w_acad_1997.txt,academic
few,many/few,subtract,1598,w_acad_1997.txt,academic
increase,increase/decrease,add,2372,w_acad_1997.txt,academic
decrease,increase/decrease,subtract,372,w_acad_1997.txt,academic
add,add/subtract,add,4414,w_acad_1998.txt,academic
subtract,add/subtract,subtract,55,w_acad_1998.txt,academic
addition,addition/subtraction,add,1685,w_acad_1998.txt,academic
subtraction,addition/subtraction,subtract,13,w_acad_1998.txt,academic
plus,plus/minus,add,261,w_acad_1998.txt,academic
minus,plus/minus,subtract,24,w_acad_1998.txt,academic
more,more/less,add,10138,w_acad_1998.txt,academic
less,more/less,subtract,5206,w_acad_1998.txt,academic
most,most/least,add,5938,w_acad_1998.txt,academic
least,most/least,subtract,1462,w_acad_1998.txt,academic
many,many/few,add,4084,w_acad_1998.txt,academic
few,many/few,subtract,1481,w_acad_1998.txt,academic
increase,increase/decrease,add,2178,w_acad_1998.txt,academic
decrease,increase/decrease,subtract,385,w_acad_1998.txt,academic
add,add/subtract,add,3959,w_acad_1999.txt,academic
subtract,add/subtract,subtract,30,w_acad_1999.txt,academic
addition,addition/subtraction,add,1570,w_acad_1999.txt,academic
subtraction,addition/subtraction,subtract,6,w_acad_1999.txt,academic
plus,plus/minus,add,195,w_acad_1999.txt,academic
minus,plus/minus,subtract,42,w_acad_1999.txt,academic
more,more/less,add,10391,w_acad_1999.txt,academic
less,more/less,subtract,4597,w_acad_1999.txt,academic
most,most/least,add,6199,w_acad_1999.txt,academic
least,most/least,subtract,1377,w_acad_1999.txt,academic
many,many/few,add,4223,w_acad_1999.txt,academic
few,many/few,subtract,1482,w_acad_1999.txt,academic
increase,increase/decrease,add,2348,w_acad_1999.txt,academic
decrease,increase/decrease,subtract,444,w_acad_1999.txt,academic
add,add/subtract,add,4097,w_acad_2000.txt,academic
subtract,add/subtract,subtract,22,w_acad_2000.txt,academic
addition,addition/subtraction,add,1594,w_acad_2000.txt,academic
subtraction,addition/subtraction,subtract,10,w_acad_2000.txt,academic
plus,plus/minus,add,287,w_acad_2000.txt,academic
minus,plus/minus,subtract,45,w_acad_2000.txt,academic
