binomial,type,function_word,pair,freq,file,register
more and less,add_first,and,4,1,w_mag_1994.txt,magazine
less and more,sub_first,and,4,0,w_mag_1994.txt,magazine
increase or decrease,add_first,or,5,1,w_mag_1994.txt,magazine
decrease or increase,sub_first,or,5,0,w_mag_1994.txt,magazine
increase and decrease,add_first,and,5,0,w_mag_1994.txt,magazine
decrease and increase,sub_first,and,5,0,w_mag_1994.txt,magazine
many or few,add_first,or,6,0,w_mag_1994.txt,magazine
few or many,sub_first,or,6,0,w_mag_1994.txt,magazine
many and few,add_first,and,6,0,w_mag_1994.txt,magazine
few and many,sub_first,and,6,0,w_mag_1994.txt,magazine
most or least,add_first,or,7,0,w_mag_1994.txt,magazine
least or most,sub_first,or,7,0,w_mag_1994.txt,magazine
most and least,add_first,and,7,0,w_mag_1994.txt,magazine
least and most,sub_first,and,7,0,w_mag_1994.txt,magazine
add and subtract,add_first,and,1,0,w_mag_1995.txt,magazine
subtract and add,sub_first,and,1,0,w_mag_1995.txt,magazine
add or subtract,add_first,or,1,1,w_mag_1995.txt,magazine
subtract or add,sub_first,or,1,0,w_mag_1995.txt,magazine
plus and minus,add_first,and,2,0,w_mag_1995.txt,magazine
minus and plus,sub_first,and,2,0,w_mag_1995.txt,magazine
plus or minus,add_first,or,2,3,w_mag_1995.txt,magazine
minus or plus,sub_first,or,2,0,w_mag_1995.txt,magazine
addition and subtraction,add_first,and,3,0,w_mag_1995.txt,magazine
subtraction and addition,sub_first,and,3,0,w_mag_1995.txt,magazine
addition or subtraction,add_first,or,3,0,w_mag_1995.txt,magazine
subtraction or addition,sub_first,or,3,0,w_mag_1995.txt,magazine
more or less,add_first,or,4,61,w_mag_1995.txt,magazine
less or more,sub_first,or,4,1,w_mag_1995.txt,magazine
more and less,add_first,and,4,1,w_mag_1995.txt,magazine
less and more,sub_first,and,4,0,w_mag_1995.txt,magazine
increase or decrease,add_first,or,5,3,w_mag_1995.txt,magazine
decrease or increase,sub_first,or,5,0,w_mag_1995.txt,magazine
increase and decrease,add_first,and,5,0,w_mag_1995.txt,magazine
decrease and increase,sub_first,and,5,0,w_mag_1995.txt,magazine
many or few,add_first,or,6,0,w_mag_1995.txt,magazine
few or many,sub_first,or,6,0,w_mag_1995.txt,magazine
many and few,add_first,and,6,0,w_mag_1995.txt,magazine
few and many,sub_first,and,6,0,w_mag_1995.txt,magazine
most or least,add_first,or,7,0,w_mag_1995.txt,magazine
least or most,sub_first,or,7,0,w_mag_1995.txt,magazine
most and least,add_first,and,7,0,w_mag_1995.txt,magazine
least and most,sub_first,and,7,0,w_mag_1995.txt,magazine
add and subtract,add_first,and,1,0,w_mag_1996.txt,magazine
subtract and add,sub_first,and,1,0,w_mag_1996.txt,magazine
add or subtract,add_first,or,1,0,w_mag_1996.txt,magazine
subtract or add,sub_first,or,1,0,w_mag_1996.txt,magazine
plus and minus,add_first,and,2,1,w_mag_1996.txt,magazine
minus and plus,sub_first,and,2,0,w_mag_1996.txt,magazine
plus or minus,add_first,or,2,4,w_mag_1996.txt,magazine
minus or plus,sub_first,or,2,0,w_mag_1996.txt,magazine
addition and subtraction,add_first,and,3,0,w_mag_1996.txt,magazine
subtraction and addition,sub_first,and,3,0,w_mag_1996.txt,magazine
addition or subtraction,add_first,or,3,0,w_mag_1996.txt,magazine
subtraction or addition,sub_first,or,3,0,w_mag_1996.txt,magazine
more or less,add_first,or,4,60,w_mag_1996.txt,magazine
less or more,sub_first,or,4,0,w_mag_1996.txt,magazine
more and less,add_first,and,4,1,w_mag_1996.txt,magazine
less and more,sub_first,and,4,1,w_mag_1996.txt,magazine
increase or decrease,add_first,or,5,2,w_mag_1996.txt,magazine
decrease or increase,sub_first,or,5,0,w_mag_1996.txt,magazine
increase and decrease,add_first,and,5,0,w_mag_1996.txt,magazine
decrease and increase,sub_first,and,5,0,w_mag_1996.txt,magazine
many or few,add_first,or,6,0,w_mag_1996.txt,magazine
few or many,sub_first,or,6,0,w_mag_1996.txt,magazine
many and few,add_first,and,6,0,w_mag_1996.txt,magazine
few and many,sub_first,and,6,0,w_mag_1996.txt,magazine
most or least,add_first,or,7,0,w_mag_1996.txt,magazine
least or most,sub_first,or,7,0,w_mag_1996.txt,magazine
most and least,add_first,and,7,0,w_mag_1996.txt,magazine
least and most,sub_first,and,7,0,w_mag_1996.txt,magazine
add and subtract,add_first,and,1,0,w_mag_1997.txt,magazine
subtract and add,sub_first,and,1,0,w_mag_1997.txt,magazine
add or subtract,add_first,or,1,2,w_mag_1997.txt,magazine
subtract or add,sub_first,or,1,0,w_mag_1997.txt,magazine
plus and minus,add_first,and,2,0,w_mag_1997.txt,magazine
minus and plus,sub_first,and,2,0,w_mag_1997.txt,magazine
plus or minus,add_first,or,2,5,w_mag_1997.txt,magazine
minus or plus,sub_first,or,2,0,w_mag_1997.txt,magazine
addition and subtraction,add_first,and,3,0,w_mag_1997.txt,magazine
subtraction and addition,sub_first,and,3,0,w_mag_1997.txt,magazine
addition or subtraction,add_first,or,3,0,w_mag_1997.txt,magazine
subtraction or addition,sub_first,or,3,0,w_mag_1997.txt,magazine
more or less,add_first,or,4,48,w_mag_1997.txt,magazine
less or more,sub_first,or,4,0,w_mag_1997.txt,magazine
more and less,add_first,and,4,1,w_mag_1997.txt,magazine
less and more,sub_first,and,4,1,w_mag_1997.txt,magazine
increase or decrease,add_first,or,5,0,w_mag_1997.txt,magazine
decrease or increase,sub_first,or,5,0,w_mag_1997.txt,magazine
increase and decrease,add_first,and,5,3,w_mag_1997.txt,magazine
decrease and increase,sub_first,and,5,0,w_mag_1997.txt,magazine
many or few,add_first,or,6,0,w_mag_1997.txt,magazine
few or many,sub_first,or,6,0,w_mag_1997.txt,magazine
many and few,add_first,and,6,0,w_mag_1997.txt,magazine
few and many,sub_first,and,6,0,w_mag_1997.txt,magazine
most or least,add_first,or,7,0,w_mag_1997.txt,magazine
least or most,sub_first,or,7,0,w_mag_1997.txt,magazine
most and least,add_first,and,7,1,w_mag_1997.txt,magazine
least and most,sub_first,and,7,0,w_mag_1997.txt,magazine
add and subtract,add_first,and,1,1,w_mag_1998.txt,magazine
subtract and add,sub_first,and,1,0,w_mag_1998.txt,magazine
add or subtract,add_first,or,1,1,w_mag_1998.txt,magazine
subtract or add,sub_first,or,1,0,w_mag_1998.txt,magazine
plus and minus,add_first,and,2,0,w_mag_1998.txt,magazine
minus and plus,sub_first,and,2,0,w_mag_1998.txt,magazine
plus or minus,add_first,or,2,1,w_mag_1998.txt,magazine
minus or plus,sub_first,or,2,0,w_mag_1998.txt,magazine
addition and subtraction,add_first,and,3,2,w_mag_1998.txt,magazine
subtraction and addition,sub_first,and,3,0,w_mag_1998.txt,magazine
addition or subtraction,add_first,or,3,0,w_mag_1998.txt,magazine
subtraction or addition,sub_first,or,3,0,w_mag_1998.txt,magazine
more or less,add_first,or,4,56,w_mag_1998.txt,magazine
less or more,sub_first,or,4,0,w_mag_1998.txt,magazine
more and less,add_first,and,4,0,w_mag_1998.txt,magazine
less and more,sub_first,and,4,1,w_mag_1998.txt,magazine
increase or decrease,add_first,or,5,2,w_mag_1998.txt,magazine
decrease or increase,sub_first,or,5,0,w_mag_1998.txt,magazine
increase and decrease,add_first,and,5,0,w_mag_1998.txt,magazine
decrease and increase,sub_first,and,5,0,w_mag_1998.txt,magazine
many or few,add_first,or,6,0,w_mag_1998.txt,magazine
few or many,sub_first,or,6,0,w_mag_1998.txt,magazine
many and few,add_first,and,6,0,w_mag_1998.txt,magazine
few and many,sub_first,and,6,0,w_mag_1998.txt,magazine
most or least,add_first,or,7,0,w_mag_1998.txt,magazine
least or most,sub_first,or,7,0,w_mag_1998.txt,magazine
most and least,add_first,and,7,1,w_mag_1998.txt,magazine
least and most,sub_first,and,7,0,w_mag_1998.txt,magazine
add and subtract,add_first,and,1,1,w_mag_1999.txt,magazine
subtract and add,sub_first,and,1,0,w_mag_1999.txt,magazine
add or subtract,add_first,or,1,2,w_mag_1999.txt,magazine
subtract or add,sub_first,or,1,0,w_mag_1999.txt,magazine
plus and minus,add_first,and,2,0,w_mag_1999.txt,magazine
minus and plus,sub_first,and,2,0,w_mag_1999.txt,magazine
plus or minus,add_first,or,2,2,w_mag_1999.txt,magazine
minus or plus,sub_first,or,2,0,w_mag_1999.txt,magazine
addition and subtraction,add_first,and,3,1,w_mag_1999.txt,magazine
subtraction and addition,sub_first,and,3,0,w_mag_1999.txt,magazine
addition or subtraction,add_first,or,3,0,w_mag_1999.txt,magazine
subtraction or addition,sub_first,or,3,0,w_mag_1999.txt,magazine
more or less,add_first,or,4,65,w_mag_1999.txt,magazine
less or more,sub_first,or,4,0,w_mag_1999.txt,magazine
more and less,add_first,and,4,0,w_mag_1999.txt,magazine
less and more,sub_first,and,4,0,w_mag_1999.txt,magazine
increase or decrease,add_first,or,5,1,w_mag_1999.txt,magazine
decrease or increase,sub_first,or,5,0,w_mag_1999.txt,magazine
increase and decrease,add_first,and,5,1,w_mag_1999.txt,magazine
decrease and increase,sub_first,and,5,0,w_mag_1999.txt,magazine
many or few,add_first,or,6,1,w_mag_1999.txt,magazine
few or many,sub_first,or,6,0,w_mag_1999.txt,magazine
many and few,add_first,and,6,0,w_mag_1999.txt,magazine
few and many,sub_first,and,6,0,w_mag_1999.txt,magazine
most or least,add_first,or,7,0,w_mag_1999.txt,magazine
least or most,sub_first,or,7,0,w_mag_1999.txt,magazine
most and least,add_first,and,7,0,w_mag_1999.txt,magazine
least and most,sub_first,and,7,0,w_mag_1999.txt,magazine
add and subtract,add_first,and,1,0,w_mag_2000.txt,magazine
subtract and add,sub_first,and,1,0,w_mag_2000.txt,magazine
add or subtract,add_first,or,1,1,w_mag_2000.txt,magazine
subtract or add,sub_first,or,1,0,w_mag_2000.txt,magazine
plus and minus,add_first,and,2,0,w_mag_2000.txt,magazine
minus and plus,sub_first,and,2,0,w_mag_2000.txt,magazine
plus or minus,add_first,or,2,12,w_mag_2000.txt,magazine
minus or plus,sub_first,or,2,0,w_mag_2000.txt,magazine
addition and subtraction,add_first,and,3,0,w_mag_2000.txt,magazine
subtraction and addition,sub_first,and,3,0,w_mag_2000.txt,magazine
addition or subtraction,add_first,or,3,0,w_mag_2000.txt,magazine
subtraction or addition,sub_first,or,3,0,w_mag_2000.txt,magazine
more or less,add_first,or,4,51,w_mag_2000.txt,magazine
less or more,sub_first,or,4,1,w_mag_2000.txt,magazine
more and less,add_first,and,4,0,w_mag_2000.txt,magazine
less and more,sub_first,and,4,1,w_mag_2000.txt,magazine
increase or decrease,add_first,or,5,0,w_mag_2000.txt,magazine
decrease or increase,sub_first,or,5,0,w_mag_2000.txt,magazine
increase and decrease,add_first,and,5,0,w_mag_2000.txt,magazine
decrease and increase,sub_first,and,5,0,w_mag_2000.txt,magazine
many or few,add_first,or,6,0,w_mag_2000.txt,magazine
few or many,sub_first,or,6,0,w_mag_2000.txt,magazine
many and few,add_first,and,6,0,w_mag_2000.txt,magazine
few and many,sub_first,and,6,0,w_mag_2000.txt,magazine
most or least,add_first,or,7,0,w_mag_2000.txt,magazine
least or most,sub_first,or,7,0,w_mag_2000.txt,magazine
most and least,add_first,and,7,0,w_mag_2000.txt,magazine
least and most,sub_first,and,7,0,w_mag_2000.txt,magazine
add and subtract,add_first,and,1,1,w_mag_2001.txt,magazine
subtract and add,sub_first,and,1,0,w_mag_2001.txt,magazine
add or subtract,add_first,or,1,1,w_mag_2001.txt,magazine
subtract or add,sub_first,or,1,0,w_mag_2001.txt,magazine
plus and minus,add_first,and,2,0,w_mag_2001.txt,magazine
minus and plus,sub_first,and,2,0,w_mag_2001.txt,magazine
plus or minus,add_first,or,2,2,w_mag_2001.txt,magazine
minus or plus,sub_first,or,2,0,w_mag_2001.txt,magazine
addition and subtraction,add_first,and,3,0,w_mag_2001.txt,magazine
subtraction and addition,sub_first,and,3,0,w_mag_2001.txt,magazine
addition or subtraction,add_first,or,3,0,w_mag_2001.txt,magazine
subtraction or addition,sub_first,or,3,0,w_mag_2001.txt,magazine
more or less,add_first,or,4,41,w_mag_2001.txt,magazine
less or more,sub_first,or,4,0,w_mag_2001.txt,magazine
more and less,add_first,and,4,0,w_mag_2001.txt,magazine
less and more,sub_first,and,4,0,w_mag_2001.txt,magazine
increase or decrease,add_first,or,5,2,w_mag_2001.txt,magazine
decrease or increase,sub_first,or,5,0,w_mag_2001.txt,magazine
increase and decrease,add_first,and,5,0,w_mag_2001.txt,magazine
decrease and increase,sub_first,and,5,0,w_mag_2001.txt,magazine
many or few,add_first,or,6,0,w_mag_2001.txt,magazine
few or many,sub_first,or,6,0,w_mag_2001.txt,magazine
many and few,add_first,and,6,0,w_mag_2001.txt,magazine
few and many,sub_first,and,6,0,w_mag_2001.txt,magazine
most or least,add_first,or,7,0,w_mag_2001.txt,magazine
least or most,sub_first,or,7,0,w_mag_2001.txt,magazine
most and least,add_first,and,7,1,w_mag_2001.txt,magazine
least and most,sub_first,and,7,0,w_mag_2001.txt,magazine
add and subtract,add_first,and,1,1,w_mag_2002.txt,magazine
subtract and add,sub_first,and,1,0,w_mag_2002.txt,magazine
add or subtract,add_first,or,1,1,w_mag_2002.txt,magazine
subtract or add,sub_first,or,1,0,w_mag_2002.txt,magazine
plus and minus,add_first,and,2,0,w_mag_2002.txt,magazine
minus and plus,sub_first,and,2,0,w_mag_2002.txt,magazine
plus or minus,add_first,or,2,1,w_mag_2002.txt,magazine
minus or plus,sub_first,or,2,0,w_mag_2002.txt,magazine
addition and subtraction,add_first,and,3,0,w_mag_2002.txt,magazine
subtraction and addition,sub_first,and,3,0,w_mag_2002.txt,magazine
addition or subtraction,add_first,or,3,0,w_mag_2002.txt,magazine
subtraction or addition,sub_first,or,3,0,w_mag_2002.txt,magazine
more or less,add_first,or,4,42,w_mag_2002.txt,magazine
less or more,sub_first,or,4,0,w_mag_2002.txt,magazine
more and less,add_first,and,4,0,w_mag_2002.txt,magazine
less and more,sub_first,and,4,0,w_mag_2002.txt,magazine
increase or decrease,add_first,or,5,1,w_mag_2002.txt,magazine
decrease or increase,sub_first,or,5,1,w_mag_2002.txt,magazine
increase and decrease,add_first,and,5,0,w_mag_2002.txt,magazine
decrease and increase,sub_first,and,5,0,w_mag_2002.txt,magazine
many or few,add_first,or,6,0,w_mag_2002.txt,magazine
few or many,sub_first,or,6,0,w_mag_2002.txt,magazine
many and few,add_first,and,6,0,w_mag_2002.txt,magazine
few and many,sub_first,and,6,0,w_mag_2002.txt,magazine
most or least,add_first,or,7,0,w_mag_2002.txt,magazine
least or most,sub_first,or,7,0,w_mag_2002.txt,magazine
most and least,add_first,and,7,0,w_mag_2002.txt,magazine
least and most,sub_first,and,7,0,w_mag_2002.txt,magazine
add and subtract,add_first,and,1,0,w_mag_2003.txt,magazine
subtract and add,sub_first,and,1,0,w_mag_2003.txt,magazine
add or subtract,add_first,or,1,1,w_mag_2003.txt,magazine
subtract or add,sub_first,or,1,0,w_mag_2003.txt,magazine
plus and minus,add_first,and,2,1,w_mag_2003.txt,magazine
minus and plus,sub_first,and,2,0,w_mag_2003.txt,magazine
plus or minus,add_first,or,2,1,w_mag_2003.txt,magazine
minus or plus,sub_first,or,2,0,w_mag_2003.txt,magazine
addition and subtraction,add_first,and,3,1,w_mag_2003.txt,magazine
subtraction and addition,sub_first,and,3,0,w_mag_2003.txt,magazine
addition or subtraction,add_first,or,3,1,w_mag_2003.txt,magazine
subtraction or addition,sub_first,or,3,0,w_mag_2003.txt,magazine
more or less,add_first,or,4,49,w_mag_2003.txt,magazine
less or more,sub_first,or,4,0,w_mag_2003.txt,magazine
more and less,add_first,and,4,0,w_mag_2003.txt,magazine
less and more,sub_first,and,4,0,w_mag_2003.txt,magazine
increase or decrease,add_first,or,5,2,w_mag_2003.txt,magazine
decrease or increase,sub_first,or,5,0,w_mag_2003.txt,magazine
increase and decrease,add_first,and,5,0,w_mag_2003.txt,magazine
decrease and increase,sub_first,and,5,0,w_mag_2003.txt,magazine
many or few,add_first,or,6,0,w_mag_2003.txt,magazine
few or many,sub_first,or,6,0,w_mag_2003.txt,magazine
many and few,add_first,and,6,0,w_mag_2003.txt,magazine
few and many,sub_first,and,6,0,w_mag_2003.txt,magazine
most or least,add_first,or,7,0,w_mag_2003.txt,magazine
least or most,sub_first,or,7,0,w_mag_2003.txt,magazine
most and least,add_first,and,7,0,w_mag_2003.txt,magazine
least and most,sub_first,and,7,0,w_mag_2003.txt,magazine
add and subtract,add_first,and,1,0,w_mag_2004.txt,magazine
subtract and add,sub_first,and,1,0,w_mag_2004.txt,magazine
add or subtract,add_first,or,1,2,w_mag_2004.txt,magazine
subtract or add,sub_first,or,1,0,w_mag_2004.txt,magazine
plus and minus,add_first,and,2,0,w_mag_2004.txt,magazine
minus and plus,sub_first,and,2,0,w_mag_2004.txt,magazine
plus or minus,add_first,or,2,1,w_mag_2004.txt,magazine
minus or plus,sub_first,or,2,0,w_mag_2004.txt,magazine
addition and subtraction,add_first,and,3,0,w_mag_2004.txt,magazine
subtraction and addition,sub_first,and,3,0,w_mag_2004.txt,magazine
addition or subtraction,add_first,or,3,0,w_mag_2004.txt,magazine
subtraction or addition,sub_first,or,3,0,w_mag_2004.txt,magazine
more or less,add_first,or,4,47,w_mag_2004.txt,magazine
less or more,sub_first,or,4,0,w_mag_2004.txt,magazine
more and less,add_first,and,4,1,w_mag_2004.txt,magazine
less and more,sub_first,and,4,0,w_mag_2004.txt,magazine
increase or decrease,add_first,or,5,2,w_mag_2004.txt,magazine
decrease or increase,sub_first,or,5,0,w_mag_2004.txt,magazine
increase and decrease,add_first,and,5,0,w_mag_2004.txt,magazine
decrease and increase,sub_first,and,5,0,w_mag_2004.txt,magazine
many or few,add_first,or,6,1,w_mag_2004.txt,magazine
few or many,sub_first,or,6,0,w_mag_2004.txt,magazine
many and few,add_first,and,6,0,w_mag_2004.txt,magazine
few and many,sub_first,and,6,0,w_mag_2004.txt,magazine
most or least,add_first,or,7,0,w_mag_2004.txt,magazine
least or most,sub_first,or,7,0,w_mag_2004.txt,magazine
most and least,add_first,and,7,0,w_mag_2004.txt,magazine
least and most,sub_first,and,7,0,w_mag_2004.txt,magazine
add and subtract,add_first,and,1,0,w_mag_2005.txt,magazine
subtract and add,sub_first,and,1,0,w_mag_2005.txt,magazine
add or subtract,add_first,or,1,1,w_mag_2005.txt,magazine
subtract or add,sub_first,or,1,0,w_mag_2005.txt,magazine
plus and minus,add_first,and,2,0,w_mag_2005.txt,magazine
minus and plus,sub_first,and,2,0,w_mag_2005.txt,magazine
plus or minus,add_first,or,2,1,w_mag_2005.txt,magazine
minus or plus,sub_first,or,2,0,w_mag_2005.txt,magazine
addition and subtraction,add_first,and,3,0,w_mag_2005.txt,magazine
subtraction and addition,sub_first,and,3,0,w_mag_2005.txt,magazine
addition or subtraction,add_first,or,3,0,w_mag_2005.txt,magazine
subtraction or addition,sub_first,or,3,0,w_mag_2005.txt,magazine
more or less,add_first,or,4,35,w_mag_2005.txt,magazine
less or more,sub_first,or,4,0,w_mag_2005.txt,magazine
more and less,add_first,and,4,0,w_mag_2005.txt,magazine
less and more,sub_first,and,4,0,w_mag_2005.txt,magazine
increase or decrease,add_first,or,5,1,w_mag_2005.txt,magazine
decrease or increase,sub_first,or,5,0,w_mag_2005.txt,magazine
increase and decrease,add_first,and,5,0,w_mag_2005.txt,magazine
decrease and increase,sub_first,and,5,0,w_mag_2005.txt,magazine
many or few,add_first,or,6,0,w_mag_2005.txt,magazine
few or many,sub_first,or,6,1,w_mag_2005.txt,magazine
many and few,add_first,and,6,0,w_mag_2005.txt,magazine
few and many,sub_first,and,6,0,w_mag_2005.txt,magazine
most or least,add_first,or,7,0,w_mag_2005.txt,magazine
least or most,sub_first,or,7,0,w_mag_2005.txt,magazine
most and least,add_first,and,7,0,w_mag_2005.txt,magazine
least and most,sub_first,and,7,0,w_mag_2005.txt,magazine
add and subtract,add_first,and,1,0,w_mag_2006.txt,magazine
subtract and add,sub_first,and,1,0,w_mag_2006.txt,magazine
add or subtract,add_first,or,1,1,w_mag_2006.txt,magazine
subtract or add,sub_first,or,1,0,w_mag_2006.txt,magazine
plus and minus,add_first,and,2,0,w_mag_2006.txt,magazine
minus and plus,sub_first,and,2,0,w_mag_2006.txt,magazine
plus or minus,add_first,or,2,0,w_mag_2006.txt,magazine
minus or plus,sub_first,or,2,0,w_mag_2006.txt,magazine
addition and subtraction,add_first,and,3,0,w_mag_2006.txt,magazine
subtraction and addition,sub_first,and,3,0,w_mag_2006.txt,magazine
addition or subtraction,add_first,or,3,0,w_mag_2006.txt,magazine
subtraction or addition,sub_first,or,3,0,w_mag_2006.txt,magazine
more or less,add_first,or,4,41,w_mag_2006.txt,magazine
less or more,sub_first,or,4,0,w_mag_2006.txt,magazine
more and less,add_first,and,4,1,w_mag_2006.txt,magazine
less and more,sub_first,and,4,0,w_mag_2006.txt,magazine
increase or decrease,add_first,or,5,2,w_mag_2006.txt,magazine
decrease or increase,sub_first,or,5,0,w_mag_2006.txt,magazine
increase and decrease,add_first,and,5,0,w_mag_2006.txt,magazine
decrease and increase,sub_first,and,5,0,w_mag_2006.txt,magazine
many or few,add_first,or,6,0,w_mag_2006.txt,magazine
few or many,sub_first,or,6,0,w_mag_2006.txt,magazine
many and few,add_first,and,6,0,w_mag_2006.txt,magazine
few and many,sub_first,and,6,0,w_mag_2006.txt,magazine
most or least,add_first,or,7,0,w_mag_2006.txt,magazine
least or most,sub_first,or,7,0,w_mag_2006.txt,magazine
most and least,add_first,and,7,0,w_mag_2006.txt,magazine
least and most,sub_first,and,7,0,w_mag_2006.txt,magazine
add and subtract,add_first,and,1,0,w_mag_2007.txt,magazine
subtract and add,sub_first,and,1,0,w_mag_2007.txt,magazine
add or subtract,add_first,or,1,1,w_mag_2007.txt,magazine
subtract or add,sub_first,or,1,0,w_mag_2007.txt,magazine
plus and minus,add_first,and,2,0,w_mag_2007.txt,magazine
minus and plus,sub_first,and,2,0,w_mag_2007.txt,magazine
plus or minus,add_first,or,2,1,w_mag_2007.txt,magazine
minus or plus,sub_first,or,2,0,w_mag_2007.txt,magazine
addition and subtraction,add_first,and,3,0,w_mag_2007.txt,magazine
subtraction and addition,sub_first,and,3,0,w_mag_2007.txt,magazine
addition or subtraction,add_first,or,3,0,w_mag_2007.txt,magazine
subtraction or addition,sub_first,or,3,0,w_mag_2007.txt,magazine
more or less,add_first,or,4,42,w_mag_2007.txt,magazine
less or more,sub_first,or,4,0,w_mag_2007.txt,magazine
more and less,add_first,and,4,0,w_mag_2007.txt,magazine
less and more,sub_first,and,4,0,w_mag_2007.txt,magazine
increase or decrease,add_first,or,5,1,w_mag_2007.txt,magazine
decrease or increase,sub_first,or,5,0,w_mag_2007.txt,magazine
increase and decrease,add_first,and,5,0,w_mag_2007.txt,magazine
decrease and increase,sub_first,and,5,0,w_mag_2007.txt,magazine
many or few,add_first,or,6,0,w_mag_2007.txt,magazine
few or many,sub_first,or,6,0,w_mag_2007.txt,magazine
many and few,add_first,and,6,0,w_mag_2007.txt,magazine
few and many,sub_first,and,6,0,w_mag_2007.txt,magazine
most or least,add_first,or,7,0,w_mag_2007.txt,magazine
least or most,sub_first,or,7,0,w_mag_2007.txt,magazine
most and least,add_first,and,7,0,w_mag_2007.txt,magazine
least and most,sub_first,and,7,0,w_mag_2007.txt,magazine
add and subtract,add_first,and,1,0,w_mag_2008.txt,magazine
subtract and add,sub_first,and,1,0,w_mag_2008.txt,magazine
add or subtract,add_first,or,1,0,w_mag_2008.txt,magazine
subtract or add,sub_first,or,1,0,w_mag_2008.txt,magazine
plus and minus,add_first,and,2,0,w_mag_2008.txt,magazine
minus and plus,sub_first,and,2,0,w_mag_2008.txt,magazine
plus or minus,add_first,or,2,3,w_mag_2008.txt,magazine
minus or plus,sub_first,or,2,0,w_mag_2008.txt,magazine
addition and subtraction,add_first,and,3,0,w_mag_2008.txt,magazine
subtraction and addition,sub_first,and,3,0,w_mag_2008.txt,magazine
addition or subtraction,add_first,or,3,0,w_mag_2008.txt,magazine
subtraction or addition,sub_first,or,3,0,w_mag_2008.txt,magazine
more or less,add_first,or,4,37,w_mag_2008.txt,magazine
less or more,sub_first,or,4,0,w_mag_2008.txt,magazine
more and less,add_first,and,4,0,w_mag_2008.txt,magazine
less and more,sub_first,and,4,0,w_mag_2008.txt,magazine
increase or decrease,add_first,or,5,2,w_mag_2008.txt,magazine
decrease or increase,sub_first,or,5,0,w_mag_2008.txt,magazine
increase and decrease,add_first,and,5,0,w_mag_2008.txt,magazine
decrease and increase,sub_first,and,5,0,w_mag_2008.txt,magazine
many or few,add_first,or,6,0,w_mag_2008.txt,magazine
few or many,sub_first,or,6,0,w_mag_2008.txt,magazine
many and few,add_first,and,6,0,w_mag_2008.txt,magazine
few and many,sub_first,and,6,0,w_mag_2008.txt,magazine
most or least,add_first,or,7,0,w_mag_2008.txt,magazine
least or most,sub_first,or,7,0,w_mag_2008.txt,magazine
most and least,add_first,and,7,0,w_mag_2008.txt,magazine
least and most,sub_first,and,7,0,w_mag_2008.txt,magazine
add and subtract,add_first,and,1,1,w_mag_2009.txt,magazine
subtract and add,sub_first,and,1,0,w_mag_2009.txt,magazine
add or subtract,add_first,or,1,1,w_mag_2009.txt,magazine
subtract or add,sub_first,or,1,0,w_mag_2009.txt,magazine
plus and minus,add_first,and,2,0,w_mag_2009.txt,magazine
minus and plus,sub_first,and,2,0,w_mag_2009.txt,magazine
plus or minus,add_first,or,2,0,w_mag_2009.txt,magazine
minus or plus,sub_first,or,2,0,w_mag_2009.txt,magazine
addition and subtraction,add_first,and,3,0,w_mag_2009.txt,magazine
subtraction and addition,sub_first,and,3,0,w_mag_2009.txt,magazine
addition or subtraction,add_first,or,3,1,w_mag_2009.txt,magazine
subtraction or addition,sub_first,or,3,0,w_mag_2009.txt,magazine
more or less,add_first,or,4,39,w_mag_2009.txt,magazine
less or more,sub_first,or,4,1,w_mag_2009.txt,magazine
more and less,add_first,and,4,0,w_mag_2009.txt,magazine
less and more,sub_first,and,4,0,w_mag_2009.txt,magazine
increase or decrease,add_first,or,5,4,w_mag_2009.txt,magazine
decrease or increase,sub_first,or,5,0,w_mag_2009.txt,magazine
increase and decrease,add_first,and,5,0,w_mag_2009.txt,magazine
decrease and increase,sub_first,and,5,0,w_mag_2009.txt,magazine
many or few,add_first,or,6,0,w_mag_2009.txt,magazine
few or many,sub_first,or,6,0,w_mag_2009.txt,magazine
many and few,add_first,and,6,0,w_mag_2009.txt,magazine
few and many,sub_first,and,6,0,w_mag_2009.txt,magazine
most or least,add_first,or,7,0,w_mag_2009.txt,magazine
least or most,sub_first,or,7,0,w_mag_2009.txt,magazine
most and least,add_first,and,7,0,w_mag_2009.txt,magazine
least and most,sub_first,and,7,0,w_mag_2009.txt,magazine
add and subtract,add_first,and,1,0,w_mag_2010.txt,magazine
subtract and add,sub_first,and,1,0,w_mag_2010.txt,magazine
add or subtract,add_first,or,1,0,w_mag_2010.txt,magazine
subtract or add,sub_first,or,1,0,w_mag_2010.txt,magazine
plus and minus,add_first,and,2,0,w_mag_2010.txt,magazine
minus and plus,sub_first,and,2,0,w_mag_2010.txt,magazine
plus or minus,add_first,or,2,5,w_mag_2010.txt,magazine
minus or plus,sub_first,or,2,0,w_mag_2010.txt,magazine
addition and subtraction,add_first,and,3,0,w_mag_2010.txt,magazine
subtraction and addition,sub_first,and,3,0,w_mag_2010.txt,magazine
addition or subtraction,add_first,or,3,1,w_mag_2010.txt,magazine
subtraction or addition,sub_first,or,3,0,w_mag_2010.txt,magazine
more or less,add_first,or,4,48,w_mag_2010.txt,magazine
less or more,sub_first,or,4,0,w_mag_2010.txt,magazine
more and less,add_first,and,4,1,w_mag_2010.txt,magazine
less and more,sub_first,and,4,0,w_mag_2010.txt,magazine
